Date,Original,Prediction
2017-07-19,520.2,505.18560791015625
2017-07-20,540.0,509.4159240722656
2017-07-21,540.8,513.1378784179688
2017-07-24,534.8,527.3594360351562
2017-07-25,544.95,529.2556762695312
2017-07-26,528.85,527.3662109375
2017-07-27,524.65,531.1027221679688
2017-07-28,515.1,522.0374755859375
2017-07-31,519.8,520.0270385742188
2017-08-01,516.55,511.5003967285156
2017-08-02,516.9,512.337890625
2017-08-03,505.99999999999994,513.5899047851562
2017-08-04,508.1,513.139892578125
2017-08-07,505.8,503.2069091796875
2017-08-08,499.45,503.9688415527344
2017-08-09,486.95,502.687744140625
2017-08-10,485.5,497.0011901855469
2017-08-11,489.7,485.1370544433594
2017-08-14,491.75,484.6993408203125
2017-08-16,499.5,484.20068359375
2017-08-17,497.15,490.4873962402344
2017-08-18,490.40000000000003,491.4408264160156
2017-08-21,494.8,493.32501220703125
2017-08-22,499.2,485.6048889160156
2017-08-23,502.65,491.4219970703125
2017-08-24,506.85,494.7265930175781
2017-08-28,510.6,497.0771789550781
2017-08-29,503.6,499.9437561035156
2017-08-30,503.9,503.0910339355469
2017-08-31,500.35,496.8914489746094
2017-09-01,507.55,499.29241943359375
2017-09-04,501.75,494.92242431640625
2017-09-05,503.4,499.989501953125
2017-09-06,492.85,497.3917236328125
2017-09-07,496.6,498.76312255859375
2017-09-08,494.0,488.7846374511719
2017-09-11,493.9,492.7464599609375
2017-09-12,496.5,489.7750549316406
2017-09-13,499.3,490.6280517578125
2017-09-14,519.75,492.49755859375
2017-09-15,516.15,494.5755615234375
2017-09-18,524.55,508.7488708496094
2017-09-19,520.75,507.6519470214844
2017-09-20,519.45,515.5640869140625
2017-09-21,512.55,511.3638610839844
2017-09-22,505.3,511.5242919921875
2017-09-25,501.7,504.7580261230469
2017-09-26,511.94999999999993,500.22210693359375
2017-09-27,506.3,492.19287109375
2017-09-28,511.8,506.89190673828125
2017-09-29,509.1499999999999,500.8626403808594
2017-10-03,509.65,506.90789794921875
2017-10-04,505.95,503.4851989746094
2017-10-05,501.2,504.091552734375
2017-10-06,503.35,500.8976745605469
2017-10-09,505.95,495.98779296875
2017-10-10,514.55,499.5609436035156
2017-10-11,515.75,500.0818786621094
2017-10-12,525.1,506.1789245605469
2017-10-13,529.45,509.6767272949219
2017-10-16,520.35,514.0911865234375
2017-10-17,513.15,520.8764038085938
2017-10-18,464.5,512.123046875
2017-10-19,460.3,508.80853271484375
2017-10-23,449.95,459.9786376953125
2017-10-24,451.95,462.5655212402344
2017-10-25,472.99999999999994,453.23162841796875
2017-10-26,484.3,456.51080322265625
2017-10-27,485.95,470.1200866699219
2017-10-30,483.99999999999994,478.6681823730469
2017-10-31,523.15,480.96270751953125
2017-11-01,535.1,477.8058166503906
2017-11-02,532.15,507.9159240722656
2017-11-03,540.1,523.83984375
2017-11-06,534.5,518.773681640625
2017-11-07,527.15,528.22412109375
2017-11-08,544.85,522.7740478515625
2017-11-09,540.4,519.04931640625
2017-11-10,544.8,535.9784545898438
2017-11-13,537.35,532.4273681640625
2017-11-14,545.65,533.3226928710938
2017-11-15,542.0,535.5382080078125
2017-11-16,542.6,534.5602416992188
2017-11-17,542.4,535.2191772460938
2017-11-20,545.15,537.4169921875
2017-11-21,546.8,538.8380737304688
2017-11-22,540.5,535.404052734375
2017-11-23,544.15,537.90673828125
2017-11-24,545.5,534.9549560546875
2017-11-27,559.4,535.56689453125
2017-11-28,562.55,538.31884765625
2017-11-29,549.5,546.37841796875
2017-11-30,535.4,554.3219604492188
2017-12-01,533.85,541.7354736328125
2017-12-04,534.95,529.7994995117188
2017-12-05,533.15,529.43212890625
2017-12-06,530.5,529.9677734375
2017-12-07,534.05,529.2092895507812
2017-12-08,542.5,526.425048828125
2017-12-11,545.1,528.697265625
2017-12-12,538.6,535.8818359375
2017-12-13,535.75,539.644775390625
2017-12-14,541.45,530.4276733398438
2017-12-15,547.95,529.7640991210938
2017-12-18,548.65,533.2562866210938
2017-12-19,553.65,541.4702758789062
2017-12-20,554.5,534.2781372070312
2017-12-21,548.95,544.8496704101562
2017-12-22,553.6,545.0678100585938
2017-12-26,555.0,541.0674438476562
2017-12-27,554.6,544.201171875
2017-12-28,546.85,546.3674926757812
2017-12-29,563.95,547.3504638671875
2018-01-01,565.5,539.4430541992188
2018-01-02,559.5,552.4893188476562
2018-01-03,560.45,557.1021118164062
2018-01-04,559.9,551.7333984375
2018-01-05,563.25,551.9065551757812
2018-01-08,565.45,552.7615966796875
2018-01-09,565.3,554.0073852539062
2018-01-10,562.8,557.7901000976562
2018-01-11,558.75,558.5934448242188
2018-01-12,555.1,554.7477416992188
2018-01-15,560.55,550.1354370117188
2018-01-16,563.2,549.7518920898438
2018-01-17,585.2,554.1666259765625
2018-01-18,584.8,554.4262084960938
2018-01-19,590.25,570.34033203125
2018-01-22,611.55,576.2484130859375
2018-01-23,620.1,577.193359375
2018-01-24,607.95,591.7657470703125
2018-01-25,616.1,606.7987060546875
2018-01-29,605.55,595.547119140625
2018-01-30,593.75,597.4285278320312
2018-01-31,593.5999999999999,596.7613525390625
2018-02-01,592.8,586.1968383789062
2018-02-02,564.9,583.906982421875
2018-02-05,566.25,587.8109130859375
2018-02-06,563.7,560.8363037109375
2018-02-07,559.35,555.550537109375
2018-02-08,568.45,551.3687744140625
2018-02-09,557.55,560.9009399414062
2018-02-12,564.2,563.32763671875
2018-02-14,543.9,548.4999389648438
2018-02-15,543.7,559.402587890625
2018-02-16,537.85,539.6864013671875
2018-02-19,540.55,536.810791015625
2018-02-20,531.7,535.1575317382812
2018-02-21,535.8,532.6763916015625
2018-02-22,530.25,531.0255737304688
2018-02-23,536.65,527.7609252929688
2018-02-26,552.3,525.5117797851562
2018-02-27,538.4,528.4629516601562
2018-02-28,528.75,543.1524658203125
2018-03-01,525.75,532.5750732421875
2018-03-05,524.55,519.5487060546875
2018-03-06,517.35,521.6332397460938
2018-03-07,512.65,519.488525390625
2018-03-08,520.55,513.7158813476562
2018-03-09,505.35,507.9726867675781
2018-03-12,519.2,513.2870483398438
2018-03-13,531.5,504.4792785644531
2018-03-14,536.15,511.53704833984375
2018-03-15,529.65,520.9400634765625
2018-03-16,522.6,524.8500366210938
2018-03-19,519.45,524.0086059570312
2018-03-20,521.1,516.310546875
2018-03-21,526.3,513.5775756835938
2018-03-22,518.2,511.1539611816406
2018-03-23,499.5,522.5194702148438
2018-03-26,507.3,513.0604248046875
2018-03-27,512.2,494.4183654785156
2018-03-28,510.5,500.6568603515625
2018-04-02,499.05,511.21685791015625
2018-04-03,501.55,502.33514404296875
2018-04-04,492.25,493.7962646484375
2018-04-05,503.1,496.0082092285156
2018-04-06,500.2,490.46270751953125
2018-04-09,519.3,497.9088134765625
2018-04-10,546.15,493.9620666503906
2018-04-11,539.8,509.2464599609375
2018-04-12,548.75,531.4442138671875
2018-04-13,542.55,530.218505859375
2018-04-16,542.4,533.1714477539062
2018-04-17,532.4,532.0531005859375
2018-04-18,518.25,528.447998046875
2018-04-19,512.9,526.8071899414062
2018-04-20,505.7,515.0831298828125
2018-04-23,506.2,509.2261962890625
2018-04-24,504.85,503.6019592285156
2018-04-25,498.4,503.2828674316406
2018-04-26,493.75,504.83734130859375
2018-04-27,539.2,496.0239562988281
2018-04-30,517.3,488.1949157714844
2018-05-02,523.75,515.1819458007812
2018-05-03,533.4,514.3106079101562
2018-05-04,520.3,515.16552734375
2018-05-07,536.1,522.2115478515625
2018-05-08,542.25,514.38037109375
2018-05-09,548.5,525.0569458007812
2018-05-10,547.65,532.3134765625
2018-05-11,553.3,536.0346069335938
2018-05-14,551.9,538.6618041992188
2018-05-15,549.7,542.3272705078125
2018-05-16,550.0,542.8685302734375
2018-05-17,539.45,543.741943359375
2018-05-18,532.9,538.5571899414062
2018-05-21,526.85,534.4968872070312
2018-05-22,523.3,527.0648803710938
2018-05-23,520.25,522.9118041992188
2018-05-24,534.45,521.3663330078125
2018-05-25,538.5,518.2623291015625
2018-05-28,546.15,526.6668701171875
2018-05-29,547.75,532.6158447265625
2018-05-30,541.65,538.4259643554688
2018-05-31,545.9,538.2593383789062
2018-06-01,536.65,530.778076171875
2018-06-04,537.05,534.8833618164062
2018-06-05,530.9,529.6484375
2018-06-06,531.4,530.1304931640625
2018-06-07,542.4,523.2601928710938
2018-06-08,537.4,525.6442260742188
