Date,Original,Prediction
2019-06-24,762.8499755859375,768.6890258789062
2019-06-25,781.6500244140625,770.9033813476562
2019-06-26,788.5999755859375,764.10400390625
2019-06-27,800.4500122070312,774.2212524414062
2019-06-28,808.5499877929688,787.1425170898438
2019-07-01,810.4500122070312,791.7687377929688
2019-07-02,802.5999755859375,799.7371215820312
2019-07-03,806.2000122070312,805.2099609375
2019-07-04,808.8499755859376,795.993408203125
2019-07-05,806.0999755859375,800.53271484375
2019-07-08,782.9000244140625,803.5594482421875
2019-07-09,786.2000122070312,800.71630859375
2019-07-10,769.25,778.3157348632812
2019-07-11,766.4000244140625,782.318603515625
2019-07-12,755.7999877929688,768.9303588867188
2019-07-15,749.7499999999999,766.6021118164062
2019-07-16,761.0499877929688,756.3607177734375
2019-07-17,752.5999755859375,750.5216674804688
2019-07-18,740.4000244140626,759.7080688476562
2019-07-19,729.25,754.1589965820312
2019-07-22,727.4500122070312,739.19287109375
2019-07-23,728.0,729.7645874023438
2019-07-24,712.2999877929686,728.1238403320312
2019-07-25,723.1500244140625,731.502685546875
2019-07-26,729.8499755859376,714.0473022460938
2019-07-29,720.25,720.01025390625
2019-07-30,707.5999755859375,729.0999145507812
2019-07-31,674.0999755859374,718.3518676757812
2019-08-01,669.2999877929688,706.6958618164062
2019-08-02,673.8499755859375,668.5581665039062
2019-08-05,662.4500122070312,673.5938110351562
2019-08-06,678.9999999999999,676.229248046875
2019-08-07,659.9500122070312,662.4793701171875
2019-08-08,660.0999755859375,676.142578125
2019-08-09,660.7999877929688,663.02197265625
2019-08-13,649.4500122070311,655.715576171875
2019-08-14,663.2000122070312,666.8424682617188
2019-08-16,675.6500244140626,650.7568359375
2019-08-19,684.9999999999999,662.6422119140625
2019-08-20,672.3499755859375,670.7584228515625
2019-08-21,664.7000122070312,683.1444091796875
2019-08-22,661.1500244140625,669.9616088867188
2019-08-23,663.9000244140625,661.7422485351562
2019-08-26,683.7000122070312,660.8812866210938
2019-08-27,682.9500122070312,658.2000122070312
2019-08-28,678.2000122070312,678.1007690429688
2019-08-29,661.1500244140625,684.0236206054688
2019-08-30,663.9000244140625,674.9310302734375
2019-09-03,645.7000122070311,659.9688720703125
2019-09-04,647.2999877929688,655.2955322265625
2019-09-05,649.5999755859375,647.2091064453125
2019-09-06,671.0999755859374,647.4155883789062
2019-09-09,671.5499877929688,652.7875366210938
2019-09-11,681.7000122070312,667.92626953125
2019-09-12,662.9000244140626,669.3857421875
2019-09-13,674.25,677.5805053710938
2019-09-16,670.9000244140625,661.4133911132812
2019-09-17,640.4500122070311,666.78662109375
2019-09-18,648.4000244140625,668.85693359375
2019-09-19,638.2000122070311,641.011962890625
2019-09-20,680.3499755859375,648.676513671875
2019-09-23,725.5,639.7633056640625
2019-09-24,704.4000244140625,664.4700317382812
2019-09-25,694.9500122070312,721.1644287109375
2019-09-26,699.9000244140625,699.4865112304688
2019-09-27,700.5999755859375,683.500244140625
2019-09-30,684.9999999999999,695.1990356445312
2019-10-01,679.1500244140625,695.5083618164062
2019-10-03,668.4000244140625,684.4346313476562
2019-10-04,656.4000244140625,671.29052734375
2019-10-07,673.4500122070312,661.3955078125
2019-10-09,686.2999877929688,660.8170166015625
2019-10-10,672.9500122070312,670.5303344726562
2019-10-11,672.7000122070312,681.97314453125
2019-10-14,683.4999999999999,671.4887084960938
2019-10-15,690.0499877929688,673.49169921875
2019-10-16,693.4000244140625,682.0382080078125
2019-10-17,710.2999877929688,687.0337524414062
2019-10-18,709.5499877929688,688.416015625
2019-10-22,712.75,702.3744506835938
2019-10-23,714.8499755859375,706.2097778320312
2019-10-24,707.7000122070312,706.8945922851562
2019-10-25,708.5999755859375,711.9988403320312
2019-10-29,738.4500122070312,703.0072021484375
2019-10-30,747.4000244140625,701.0740966796875
2019-10-31,736.3499755859375,727.5825805664062
2019-11-01,748.2999877929688,741.5972900390625
2019-11-04,742.5999755859374,730.4236450195312
2019-11-05,738.0499877929688,737.1583862304688
2019-11-06,747.25,737.690673828125
2019-11-07,734.7500000000001,731.9119873046875
2019-11-08,725.5,739.1148071289062
2019-11-11,733.7000122070312,734.1358642578125
2019-11-13,711.2000122070314,722.9932861328125
2019-11-14,715.9000244140625,729.8484497070312
2019-11-15,716.9000244140625,712.17041015625
2019-11-18,722.9500122070312,714.6050415039062
2019-11-19,747.7999877929688,717.5555419921875
2019-11-20,748.75,720.594482421875
2019-11-21,737.4000244140626,741.819091796875
2019-11-22,732.0999755859376,744.5885620117188
2019-11-25,754.75,732.8236694335938
2019-11-26,752.25,727.9295043945312
2019-11-27,752.9000244140625,745.6173095703125
2019-11-28,750.5999755859375,747.9208984375
2019-11-29,739.0499877929688,749.1983642578125
2019-12-02,744.2999877929688,745.8143310546875
2019-12-03,733.4000244140625,737.0176391601562
2019-12-04,739.8499755859375,740.8082885742188
2019-12-05,729.25,732.35302734375
2019-12-06,717.5999755859375,737.1046142578125
2019-12-09,732.0,729.0227661132812
2019-12-10,715.7000122070311,718.0789184570312
2019-12-11,716.5499877929688,725.8896484375
2019-12-12,722.0999755859375,718.1866455078125
2019-12-13,751.9999999999999,715.0140380859375
2019-12-16,747.25,721.9430541992188
2019-12-17,745.6500244140626,744.688232421875
2019-12-18,741.8499755859374,745.469970703125
2019-12-19,742.5499877929688,741.1682739257812
2019-12-20,739.8499755859375,737.2075805664062
2019-12-23,743.1500244140625,740.4210815429688
2019-12-24,740.6500244140625,737.17578125
2019-12-26,736.5,739.3428344726562
2019-12-27,760.1500244140625,738.68408203125
